# Anchor classification — one line per module, generated 2026-08-01, kept in
# sync since.
#
# ANCHOR-TASKS.tsv is the single ownership place for current anchor state: it
# is where a task gets closed, and this file's ANCHOR column must be updated to
# match whenever that happens. `zig build check-catalog` enforces this (see
# `checkAnchors` in build.zig) — for any module listed in both files, CLASS and
# ANCHOR must agree, or the build fails naming the module and which column
# drifted. This file used to be allowed to silently lag ANCHOR-TASKS.tsv as a
# "dated snapshot"; that is what let the bookkeeping go stale three times
# (backlog 1B), so the allowance was removed rather than documented further.
#
# ⚠ AGREEING WITH ANCHOR-TASKS.tsv IS NOT THE SAME AS BEING RIGHT. Those two
# checks compare a column against a duplicate of itself, so they are green
# whenever both copies are wrong the same way — and on 2026-08-14 thirty rows
# were exactly that: `SELF` in both files while ANCHOR-TASKS.tsv's own NOTE
# cited the commit that anchored them. All thirty were re-graded from the
# modules' TESTS and all thirty moved to MIXED. `checkAnchors` now also refuses
# SOURCE=DONE beside ANCHOR=SELF and SOURCE=NONE beside ANCHOR=EXTERNAL, which
# are contradictions between two INDEPENDENT facts rather than between copies.
# A grade in this file is still only worth the test file its EVIDENCE names.
#
# CLASS: does this module have an external truth at all?
#   A  wire / interop format — other implementations must byte-agree with it
#   B  published cryptographic or algorithmic construction with published vectors
#   C  internal algorithm or data structure — NO outside exists; correctness is
#      defined by invariants or a brute-force reference. NOT anchor debt.
#   D  our own design — no third party exists to agree with, by construction
#
# ANCHOR (class A and B only): where does the test oracle's authority come from?
#   EXTERNAL   published vectors, goldens captured from a foreign implementation,
#              or a test run against a live foreign peer
#   REDERIVED  an in-house oracle re-deriving the answer by a different route.
#              Catches implementation typos; does NOT catch a shared misreading
#              of the spec. A middle tier — never record it as EXTERNAL.
#   MIXED      anchored for some paths, SELF for others; EVIDENCE names which
#   SELF       round-trip and/or hand-authored fixtures only — the weakest
#
# Five things that look like an anchor and are not (each caught real cases here):
#   1. a sibling module's anchor does not transfer
#   2. reading a foreign implementation's source is not running it
#   3. a live test that skips on this host is not an anchor today
#   4. anchored primitives do not anchor the protocol framing above them
#   5. a prose claim of parity in a README is not an anchor unless the tests
#      actually contain captured bytes or a live check
#
# module	CLASS	ANCHOR	EVIDENCE
aaa-gate	C	n/a	bearer-gate middleware; RFC 6750 header parse trivial, no interop surface, internal goldens
abuseguard	C	n/a	internal rate-limit/gate store; nginx/fail2ban are design refs only, no wire format
accesslog	A	MIXED	Combined anchored by real goaccess 1.10.2 (verdicts frozen as byte literals); JSON/logfmt unanchored, no foreign parser
acme	A	MIXED	RFC7515/7638 KATs+openssl fixtures EXTERNAL; TLS-ALPN-01 ext encoding self-constructed
adaptor	B	REDERIVED	no official spec/vectors; kat_vectors.zig computed independently in Python (NOTICE)
aeadframe	D	n/a	own composed record framing inspired by RFC4303/9147, wire format defined in SPEC.md
aescbc	B	EXTERNAL	NIST SP800-38A Appendix F.2.5 byte-exact vector in kat_vectors.zig
aeskw	B	EXTERNAL	RFC 3394 wrap/unwrap KATs (README Provenance)
argsafe	C	n/a	internal char-class validators; golden allow/reject tables, no wire format
bacnet	A	EXTERNAL	bacpypes3/bacnet-stack black-box oracles + bacpypes3 live peer (README)
bbs	B	EXTERNAL	KAT vectors drawn from published reference implementation (NOTICE)
bech32	A	EXTERNAL	BIP173/BIP350 test vectors fetched directly from bitcoin/bips repo
bfv	B	REDERIVED	NTT/RNS/BFV KAT vectors from independent Python re-derivation (SPEC.md)
bip32	B	EXTERNAL	official BIP-32 Test Vectors 1/2/3/4/5 in bip32_vectors.zig
bip340	B	EXTERNAL	official BIP340 19 test vectors embedded verbatim in kat_vectors.zig
bitcoinscript	A	EXTERNAL	machine-transcribed bitcoin/bitcoin src/test/data/script_tests.json + tx_valid/tx_invalid.json FindAndDelete/CONST_SCRIPTCODE rows + script_tests.cpp script_FindAndDelete
bitcointx	A	MIXED	BIP143/341 official vectors EXTERNAL; legacy sighash modeled on Core ref only, no vector
blindrsa	B	EXTERNAL	RFC 9474 Appendix A.1/A.4 byte-exact KATs
blobmsg	A	MIXED	hand-derived libubox-spec goldens (SELF); live ubusd peer test when reachable (EXTERNAL)
blobstore	C	n/a	local content-addressed store; git/restic modeled behavior only, no external reader
bls12_381	B	MIXED	IETF draft/py_ecc byte-exact KATs; KeyGen deliberately NOT KAT-verified, self round-trip only
bn254	B	EXTERNAL	byte-exact against py_ecc external library (SPEC.md)
bolt3	B	EXTERNAL	BOLT#3 Appendix D/E official test vectors, byte-exact (NOTICE)
bolt8	A	EXTERNAL	official BOLT#8 Appendix A Transport Test Vectors (NOTICE)
brotli	A	EXTERNAL	reference_interop.zig round-trips streams through real google/brotli via Python ext
btcp2p	A	EXTERNAL	published verack/version hex dumps used as byte-exact test vectors
bulletproofs	B	SELF	published vectors tied to producing impl's transcript, unusable; property/soundness KAT only
bumtree	A	SELF	802.1aq modeled; SPEC.md: "offline only, no live-interop surface", hand-built golden topology
cbor	A	EXTERNAL	RFC 8949 App. A + RFC 9052 C.2.1 byte-exact vectors, kat_vectors.zig
coap	A	MIXED	src/external_goldens.zig replays real aiocoap 0.4.17 client<->server datagrams captured through a byte-logging UDP proxy (plain GET, the full 3-pair Block2 transfer, Block1 PUT with a real Uri-Path/Block1/Size1 delta chain, a live Observe push, multi-byte Block NUM); options/reliability/server scheduling in root.zig stay hand-authored
coconut	B	SELF	SPEC.md §3: "no external byte-exact vector" for Coconut, explicit Fable tier
conntrack	A	EXTERNAL	raw ctnetlink frames captured off the wire via nlmon/tcpdump, goldens.zig
cookies	A	MIXED	src/golden_test.zig runs CPython 3.14.4's http.cookies as a black-box oracle over the Cookie-header parse direction (16 tests, 5 divergences judged against RFC 6265, one real quote-aware split bug found); the Set-Cookie BUILD direction in root.zig is hand-authored against the RFC only
cors	A	MIXED	src/root.zig:1176/1203/1225 compare against flask_cors 6.0.5 run once as a black-box oracle, with an 8-item divergence ledger judged against Fetch/RFC 9110; the other 19 preflight/actual tests are still this module's own assertions about its own output
csvsafe	C	n/a	OWASP CSV-injection escape heuristic, no wire byte-agreement question
csvstream	A	MIXED	src/csv_spectrum_test.zig drives the reader through the vendored maxogden/csv-spectrum corpus (src/testdata/csv-spectrum), 8 of 12 pairs asserted and 4 declared out of scope, one of which is broken upstream; writer.zig and the coerce/header layers are self-tested
ct25519	B	EXTERNAL	RFC 8032 §7.1 TEST 1/2 public keys re-derived byte-exact; bit-exact vs std.crypto.ecc.Edwards25519.mul/Ristretto255.mul
ctap2pin	A	MIXED	AES/HKDF/HMAC/ECDH NIST/RFC KAT anchor the crypto core; PIN protocol framing is round-trip only
dataset	C	n/a	internal tabular Value/Dataset abstraction, no wire format
datefmt	C	n/a	internal calendar/date-epoch arithmetic (Hinnant's algorithm), no wire
decaf448	B	EXTERNAL	RFC 9496 Appendix B official test vectors, byte-exact, kat_test.zig
decimal	C	n/a	arbitrary-precision decimal arithmetic; no wire format, invariant-checked
devlink	A	EXTERNAL	goldens captured from real devlink binary + kernel via strace, goldens.zig
df-elect	D	n/a	own DF-election design re-derived from RFC 7432 for a link-state fabric, no BGP peer
diagnostics	C	n/a	LSP-style internal diagnostics collector, no wire format
dkg	B	SELF	README/SPEC: "no external byte-exact KAT" for randomized GJKR DKG
dnp3	A	EXTERNAL	goldens.zig: live captured sessions vs real opendnp3 peer, both directions
dns	A	MIXED	message.zig goldens hand-built; Resolver has live UDP/TCP/DoH tests vs real 8.8.8.8
dnssec	A	EXTERNAL	oracle_vectors.zig: real zones signed by ldns-signzone, accepted by ldns-verify-zone
drand	A	EXTERNAL	quicknet KAT is live-fetched public drand network data, same pins tlock uses
dtls	A	EXTERNAL	live interop vs real wolfSSL 5.9.1 peer, both roles, multiple flows
ebpf	A	EXTERNAL	golden bytecode derived from clang -target bpf output + bpftool verifier dump
ecvrf	B	EXTERNAL	RFC 9381 Appendix B.3 official ECVRF-EDWARDS25519-SHA512-TAI vectors, byte-exact
ed448	B	EXTERNAL	RFC 8032 / RFC 7748 official test vectors, byte-exact, kat_test.zig
encoding	A	MIXED	src/normative_test.zig drives the PUBLIC decode+encode API across all 640 byte/codepoint pairs of the five code pages against independently vendored normative tables (WHATWG index-*.txt, Unicode.org 8859-1.TXT), never against our own table; the label/alias table in parse and the '?' substitution policy are still self-graded
enip	A	EXTERNAL	61 goldens captured from real traffic between 3rd-party stacks + live round trips
entropy	D	n/a	own policy binding over std.Io.randomSecure; no algorithm and no wire, so no third party to agree with — tests pin WHICH std entry point is called, not any output value
ethfrag	A	MIXED	src/kernel_oracle.zig grades this module's Reassembler verdict against the real Linux kernel's own IPv4/IPv6 fragment reassembly, 6 scenarios x {v4,v6} = 12 captured comparisons; the emit/fragmentation side and the overlap policy beyond those scenarios stay self
ethtool	A	EXTERNAL	real ethtool binary as capture oracle under strace, goldens.zig
falcon	B	EXTERNAL	official NIST Round-3 falcon512/1024-KAT.rsp files, byte-exact
filestore	C	n/a	own JSON snapshot format on disk, no interop; atomic write, no wire (README)
finstats	B	MIXED	src/root.zig:1559 pins annualized vol / max drawdown / VaR95 / CVaR95 to ffn 1.1.5's own output on an 8-day return series; xirr, TWR/Modified-Dietz, beta/alpha, Brinson attribution, Omega and Cornish-Fisher remain hand-computed fixtures with no foreign oracle
fleetsim	A	EXTERNAL	7 protocols live vs real masters: pymodbus/pycomm3/bacpypes3/opendnp3/c104/snap7/asyncua
framing	D	n/a	own length-prefix + JSON envelope wire shape invented here, no external spec
frost	B	EXTERNAL	RFC 9591 Appendix E.5 official KAT, byte-exact (README/SPEC)
fss	B	REDERIVED	independent Python re-derivation from BGI16 emits KAT vectors, stated over the retained Sha256Prg (SPEC.md); FIPS-197 App. B pins the AES MMO step only
fuzzysearch	C	n/a	in-process trie+DP fuzzy match; brute-force self oracle only (SPEC.md)
genetlink	A	MIXED	offline goldens self-built; live nlctrl test vs real Linux kernel is external
